"Date","FX_Implied_Vol","FX_25_Delta_Rate","CDS","BIST100_Vol","Benchmark_Rate_Vol","FCI"
2018-06-13,0.373613022784943,-0.424986884974219,-0.299612013845404,0.263841781501202,0.0668105809879938,-0.020333513545485
2018-06-14,0.400948409937689,-0.382866240790982,-0.269200089981852,0.0653202385159725,-0.0678826621050369,-0.253680344424209
2018-06-18,0.380891069614362,-0.326977347298453,-0.21962248731208,0.0681376822220339,-0.0757007404562685,-0.173271823230406
2018-06-19,0.320343187071029,-0.30229648557365,-0.18096656274272,-0.0515885128059583,-0.0873647382137428,-0.301873112265042
2018-06-20,0.26908933615963,-0.281491131061833,-0.155699025146374,-0.0489039049315926,-0.0879974110424873,-0.305002136022657
2018-06-21,0.232357409673128,-0.301888537445967,-0.181437184830256,-0.177423499526819,-0.0537045719338872,-0.482096384063802
2018-06-22,0.199315760452246,-0.329934971224152,-0.238074118813072,-0.101658094322426,-0.0549699175913762,-0.525321341498781
2018-06-25,0.0693701637748795,-0.47363469920038,-0.250050639523479,0.41403740181202,-0.0304157086927472,-0.270693481829707
2018-06-26,-0.0463610315830588,-0.550430934236647,-0.254627033616073,0.414619353499032,-0.0519181490557357,-0.488717794992482
2018-06-27,-0.147023594773046,-0.591021772941074,-0.240005292206756,0.320920298935459,-0.0519181490557357,-0.709048510041153
2018-06-28,-0.121294161615524,-0.510554004755664,-0.249726072566557,-0.221654182344201,-0.0418069730651172,-1.14503539434706
2018-06-29,-0.120542438468823,-0.485567181935099,-0.272299704420453,-0.189732276178373,-0.0391988982720381,-1.10734049927479
2018-07-02,-0.128059669935829,-0.489442689148085,-0.27504229520644,-0.15981870572474,-0.0379301566251302,-1.09029351664022
2018-07-03,-0.133185055026968,-0.495357936999484,-0.279521319211958,-0.134546741787252,-0.0256521005787923,-1.06826315360445
2018-07-04,-0.116168776524384,-0.484649298647813,-0.267577255197244,-0.153915376408614,-0.0111780219760727,-1.03348872875413
2018-07-05,-0.113264391639405,-0.456602864869628,-0.279651145994727,-0.198229622969026,-0.0124467636229806,-1.06019478909577
2018-07-06,-0.113264391639405,-0.432839886432111,-0.300877824977399,-0.13963542481772,-0.0332517214348322,-1.01986924930147
2018-07-09,-0.124984438881145,-0.440590900858082,-0.341870631636595,-0.0960515695834075,-0.0544343261931943,-1.05793186715242
2018-07-10,-0.0580127403569168,-0.397246412291796,-0.323954535614523,0.0825094396279196,-0.0311650784856339,-0.727869327120951
2018-07-11,0.037661114677694,-0.347068792586825,-0.259609136404819,0.379670214233104,-0.0488142543660001,-0.238160854446847
2018-07-12,0.226787824540756,-0.254770528698617,-0.165598317332483,0.671777737289186,-0.0575042017490482,0.420692514049794
2018-07-13,0.32844129551503,-0.178280254758112,-0.136289921122463,0.566541524693332,0.00460147220140708,0.585014116529194
2018-07-16,0.370298607092672,-0.160942459331598,-0.131307818333717,0.315291576998462,-0.00388783504196056,0.389452071383859
2018-07-17,0.282312829694771,-0.185623321056401,-0.155358229841607,-0.0553398488283944,0.0416825841113546,-0.0723259859202756
2018-07-18,0.229350517086326,-0.245591695825756,-0.16473821489664,0.00878050826325854,-0.030447140109025,-0.202646025481837
2018-07-19,0.190910128902776,-0.213669754834586,-0.189600043796834,-0.0950185047031588,-0.018473149793984,-0.325851324225785
2018-07-20,0.17382551193231,-0.195822024248468,-0.207694651645212,-0.0504138101337393,-0.0247285650610897,-0.304833539156198
2018-07-23,0.131968200354668,-0.163900083257297,-0.232183228544946,-0.187858963840866,-0.0379737624987258,-0.489947837787166
2018-07-24,0.121717430172388,-0.184297489641432,-0.219265463659466,0.139359803094811,0.180534171138279,0.0380484511045795
2018-07-25,0.104222782394631,-0.186031269184083,-0.21059952590966,0.112096280445896,0.141219167252069,-0.0390925650011477
2018-07-26,0.0820127803330247,-0.202145220227549,-0.19706508380603,0.338611700770757,0.141219167252069,0.162633344322271
2018-07-27,0.0483560849012062,-0.174098786449365,-0.20969073843028,-0.000185851727287422,-0.0599611159373017,-0.395580407643027
2018-07-30,0.0421031150900155,-0.236106901857134,-0.204108186771228,0.0196410353848847,-0.0599611159373017,-0.438432054090763
2018-07-31,0.0557708086663885,-0.195720037216547,-0.185396901704699,-0.191932772868461,-0.040705183650629,-0.557984086773948
2018-08-01,0.0738805026550826,-0.2097942476216,-0.171375609165687,-0.151301202614041,-0.0115120674833724,-0.470102624229617
2018-08-02,0.134360046730533,-0.0401898135375211,-0.123859006672367,-0.0554629345188989,0.106435322146821,0.0212836141485667
2018-08-03,0.192447744430118,-0.014693055557353,-0.102924437950925,-0.0704045465904146,0.0984564208152482,0.102882125146674
2018-08-06,0.262665520178735,0.0261017572109159,-0.0720581203476821,0.0172560140651144,0.0399616638853169,0.2739268349924
2018-08-07,0.357485144364823,-0.00714601519522325,-0.06631328521017,-0.0990697672372929,0.0475874866506878,0.232543563372824
