"Date","Predictions","Actual"
2019-12-03,-0.0897834044352402,-0.121559974926933
2019-12-04,-0.0163332040541726,0.435069356297557
2019-12-05,0.310091025016144,0.518795869911348
2019-12-06,0.375480598532755,0.322044252578135
2019-12-09,0.0750949564922747,0.0251219032317396
2019-12-10,0.146038166481334,0.11611781877201
2019-12-11,0.369824658182793,0.0176462773159747
2019-12-12,0.295859947767843,0.587657642097494
2019-12-13,0.413631131256188,0.813688204640495
2019-12-16,0.322349456812919,0.178671336615288
2019-12-17,0.348414579978995,0.332515909263309
2019-12-18,0.303733409805766,-0.459451738751093
2019-12-19,0.0374294059171104,0.251847891397938
2019-12-20,-0.0138437673357193,0.399088856063723
2019-12-23,0.00930700622254468,0.272125242013277
2019-12-24,0.0378058788172582,0.592385892103242
2019-12-25,0.4769080457308,0.215486119469954
2019-12-26,0.0515431212902847,0.163197099565293
2019-12-27,0.34020494357489,0.336709046534778
2019-12-30,0.392661226387409,0.32847303142467
2019-12-31,0.0812436716027001,0.27718431005046
2020-01-02,0.168030756378626,0.417347753497133
2020-01-03,0.32000827186595,-0.680812596689184
2020-01-06,0.273637290646382,-1.01300965720683
2020-01-07,0.165725718492139,1.06029204929061
2020-01-08,0.156419267264067,-1.45569375182505
2020-01-09,0.879441619157796,2.09117877530265
2020-01-10,0.531784861922679,0.220594124354978
2020-01-13,0.362056649341983,0.784957826192856
2020-01-14,0.170480871579159,0.119435474864127
2020-01-15,0.151728120657868,-0.157070296369721
2020-01-16,0.325640214485118,0.363084529213875
2020-01-17,0.330238687979087,0.510864179879711
2020-01-20,0.306633947550226,0.333172120131975
2020-01-21,-0.197231380915883,-0.597758420196026
2020-01-22,0.223178819154714,0.534008438272138
2020-01-23,0.2098258384261,-0.288935590158246
2020-01-24,0.354393909207679,0.941299109794325
2020-01-27,-0.13538622460367,-1.17081178221207
2020-01-28,0.292108210832732,0.554683032916414
2020-01-29,0.409170808244005,0.654623814383814
2020-01-30,-0.00821951492920106,-0.383174862151625
2020-01-31,0.17442277545798,0.205749453586224
2020-02-03,-0.179021796361342,0.248799564344759
2020-02-04,0.493476579638282,1.03455302961688
2020-02-05,0.452978942935721,0.229645321283622
2020-02-06,0.18130827421969,0.319904788042136
2020-02-07,0.124457173145659,0.157371532320649
2020-02-10,-0.239248378298621,-0.45924005872322
2020-02-11,-0.0801158613809319,0.98293481442524
2020-02-12,0.212202216163166,0.118683294904698
2020-02-13,0.408728869754643,-0.0402753081789942
2020-02-14,-0.108855095302406,0.44917672089213
2020-02-17,0.280495573022424,0.691227670679595
2020-02-18,0.198397723868174,-0.281831904898222
2020-02-19,0.310560014834673,0.386480015321045
2020-02-20,0.522111164892813,0.0778632923277733
2020-02-21,0.0618638010370083,-0.477845254199927
2020-02-24,-0.703791032845926,-1.57921735275688
2020-02-25,0.300688611381942,0.729023224395409
2020-02-26,-0.0572653340117554,-0.0723038865284576
2020-02-27,0.0137416288949811,-1.03821899333054
2020-03-02,-0.172350912911866,2.25072917103994
2020-03-03,0.733620132297165,1.57266987649878
2020-03-04,0.109657079706022,-0.223060956356547
2020-03-05,0.639537764405324,1.5518112588502
2020-03-06,-0.0142940002758827,-0.144309694184375
2020-03-09,-1.57537350518181,-2.79254124044839
2020-03-10,-0.044806091558131,2.41202959467766
2020-03-11,0.367434467696604,-0.639307296048741
2020-03-12,-1.42622171710296,-2.49401111876273
2020-03-13,-1.20446264882285,0.019222657105189
2020-03-16,-1.1693270090657,-3.49484055368525
