"Date","Index"
2018-08-21,68.4110872181617
2018-08-22,68.5539423671441
2018-08-23,68.4071969611523
2018-08-24,69.0900036231411
2018-08-27,67.5960588924727
2018-08-28,66.5392907776423
2018-08-29,65.0813987357784
2018-08-30,64.3953516972387
2018-08-31,65.4121185614328
2018-09-03,64.6666671149948
2018-09-04,64.8643637923434
2018-09-05,65.5678518481209
2018-09-06,65.3767432657747
2018-09-07,67.1840984336212
2018-09-10,66.6441404677763
2018-09-11,67.1688220628639
2018-09-12,67.9889908224169
2018-09-13,70.9293418879768
2018-09-14,69.9947925999364
2018-09-17,68.220825406332
2018-09-18,67.7021383183528
2018-09-19,68.8385820942315
2018-09-20,68.9280665222461
2018-09-21,67.5186952079081
2018-09-24,69.3175362495876
2018-09-25,69.3256833553269
2018-09-26,69.9921324011546
