date,Number
11/06/2017,7599.146383
14/06/2017,7653.285515
16/06/2017,7684.222163
17/06/2017,7715.15881
18/06/2017,7649.418435
19/06/2017,7591.412221
19/06/2017,7564.342655
21/06/2017,7529.538927
20/06/2017,7490.868118
22/06/2017,7452.197309
22/06/2017,7413.5265
22/06/2017,7390.324015
25/06/2017,7359.387368
25/06/2017,7323.294613
28/06/2017,7374.855691
28/06/2017,7351.653206
01/07/2017,7394.191096
01/07/2017,7367.12153
02/07/2017,7421.260662
03/07/2017,7444.463147
05/07/2017,7483.133956
06/07/2017,7517.937684
07/07/2017,7545.007251
09/07/2017,7563.053628
12/07/2017,7529.538927
12/07/2017,7502.469361
14/07/2017,7475.399795
17/07/2017,7452.197309
19/07/2017,7428.994824
23/07/2017,7413.5265
23/07/2017,7467.665633
23/07/2017,7436.728986
25/07/2017,7560.475574
24/07/2017,7521.804765
24/07/2017,7494.735199
27/07/2017,7666.175785
26/07/2017,7606.880545
26/07/2017,7583.678059
29/07/2017,7725.471025
29/07/2017,7697.112432
31/07/2017,7676.488001
04/08/2017,7606.880545
04/08/2017,7575.943898
05/08/2017,7552.741412
06/08/2017,7529.538927
06/08/2017,7498.60228
06/08/2017,7467.665633
06/08/2017,7444.463147
08/08/2017,7413.5265
08/08/2017,7382.589853
08/08/2017,7351.653206
09/08/2017,7312.982397
09/08/2017,7274.311588
13/08/2017,7251.109103
12/08/2017,7215.016348
12/08/2017,7189.235809
16/08/2017,7315.560451
15/08/2017,7285.912831
15/08/2017,7251.109103
15/08/2017,7227.906618
18/08/2017,7377.433745
17/08/2017,7343.919044
19/08/2017,7405.792339
21/08/2017,7431.572878
24/08/2017,7452.197309
28/08/2017,7444.463147
31/08/2017,7413.5265
03/09/2017,7390.324015
07/09/2017,7392.902069
11/09/2017,7457.353417
10/09/2017,7421.260662
12/09/2017,7516.004144
11/09/2017,7483.133956
14/09/2017,7583.678059
13/09/2017,7545.007251
15/09/2017,7639.750732
14/09/2017,7606.880545
18/09/2017,7668.753839
21/09/2017,7688.089243
23/09/2017,7717.736864
26/09/2017,7730.627133
30/09/2017,7735.783241
03/10/2017,7722.892971
04/10/2017,7699.690486
06/10/2017,7672.62092
09/10/2017,7650.707461
12/10/2017,7637.817192
